Row	foldid
P_0000197_T01_IM3	5
P_0000318_T01_IM3	4
P_0000373_T02_IM5	4
P_0000377_T01_IM3	3
P_0000377_T03_IM3	1
P_0000377_T04_IM5	2
P_0000377_T05_IM5	3
P_0000377_T02_IM3	1
P_0000391_T01_IM3	1
P_0000442_T01_IM3	3
P_0000449_T01_IM3	3
P_0000449_T02_IM5	1
P_0000479_T01_IM3	3
P_0000484_T01_IM3	4
P_0000504_T01_IM3	1
P_0000505_T01_IM3	5
P_0000509_T01_IM3	4
P_0000521_T01_IM3	3
P_0000541_T02_IM5	2
P_0000541_T01_IM3	1
P_0000560_T01_IM3	1
P_0000600_T01_IM3	2
P_0000603_T01_IM3	4
P_0000610_T01_IM3	5
P_0000615_T01_IM3	2
P_0000640_T03_IM5	3
P_0000640_T01_IM3	2
P_0000647_T01_IM3	2
P_0000655_T01_IM3	4
P_0000655_T03_IM5	3
P_0000655_T02_IM3	2
P_0000672_T01_IM3	1
P_0000675_T01_IM3	3
P_0000691_T01_IM3	1
P_0000725_T01_IM3	4
P_0000828_T02_IM3	5
P_0000842_T02_IM5	3
P_0000842_T01_IM3	1
P_0000847_T01_IM3	2
P_0000909_T03_IM3	1
P_0000912_T01_IM3	3
P_0000931_T01_IM3	5
P_0000935_T01_IM3	5
P_0000964_T01_IM3	2
P_0000966_T01_IM3	4
P_0000990_T02_IM3	5
P_0001108_T01_IM3	3
P_0001128_T01_IM3	2
P_0001141_T01_IM3	4
P_0001153_T01_IM3	5
P_0001187_T01_IM3	2
P_0001202_T01_IM3	2
P_0001204_T02_IM5	5
P_0001204_T03_IM5	2
P_0001204_T01_IM3	2
P_0001206_T01_IM3	1
P_0001221_T01_IM3	2
P_0001230_T01_IM3	1
P_0001242_T03_IM5	2
P_0001242_T01_IM3	2
P_0001242_T02_IM3	1
P_0001244_T02_IM3	2
P_0001247_T01_IM3	4
P_0001262_T01_IM3	2
P_0001297_T01_IM3	5
P_0001319_T03_IM5	2
P_0001325_T01_IM3	5
P_0001332_T01_IM3	1
P_0001337_T01_IM3	4
P_0001382_T01_IM3	4
P_0001407_T01_IM3	4
P_0001413_T01_IM3	4
P_0001445_T01_IM3	1
P_0001449_T02_IM5	5
P_0001449_T01_IM3	4
P_0001462_T01_IM3	5
P_0001493_T01_IM3	2
P_0001537_T01_IM3	1
P_0001563_T01_IM3	2
P_0001630_T01_IM3	3
P_0001636_T01_IM3	4
P_0001639_T01_IM3	5
P_0001684_T01_IM3	2
P_0001684_T02_IM3	5
P_0001687_T01_IM3	4
P_0001694_T01_IM3	1
P_0001697_T02_IM3	3
P_0001698_T01_IM3	2
P_0001768_T01_IM3	3
P_0001776_T01_IM3	5
P_0001795_T02_IM5	4
P_0001822_T01_IM3	3
P_0001829_T02_IM5	1
P_0001829_T01_IM3	5
P_0001845_T01_IM3	3
P_0001859_T02_IM3	3
P_0001861_T01_IM3	1
P_0001876_T03_IM5	2
P_0001876_T02_IM5	4
P_0001884_T01_IM3	2
P_0001884_T02_IM5	2
P_0001895_T01_IM3	1
P_0001899_T01_IM3	5
P_0002101_T01_IM3	3
P_0002123_T01_IM3	1
P_0002149_T01_IM3	4
P_0002196_T01_IM3	5
P_0002206_T01_IM3	4
P_0002223_T01_IM3	1
P_0002273_T03_IM5	5
P_0002273_T01_IM3	4
P_0002289_T01_IM3	5
P_0002296_T01_IM3	1
P_0002306_T01_IM3	5
P_0002314_T01_IM3	4
P_0002333_T01_IM3	1
P_0002334_T01_IM3	5
P_0002364_T01_IM3	4
P_0002382_T01_IM3	3
P_0002397_T01_IM3	2
P_0002398_T02_IM3	4
P_0002431_T01_IM3	2
P_0002439_T01_IM3	5
P_0002453_T01_IM3	1
P_0002499_T01_IM3	3
P_0002537_T02_IM5	1
P_0002537_T01_IM3	3
P_0002583_T01_IM3	1
P_0002840_T01_IM3	4
