sampleid	ypred	sampleorder
P_0000197_T01_IM3	0.303366273641586	1
P_0000318_T01_IM3	0.726941823959351	2
P_0000373_T02_IM5	0.860177397727966	3
P_0000377_T01_IM3	0.497512131929398	4
P_0000377_T03_IM3	0.494883984327316	5
P_0000377_T04_IM5	0.439037650823593	6
P_0000377_T05_IM5	0.413812965154648	7
P_0000377_T02_IM3	0.385458469390869	8
P_0000391_T01_IM3	0.341477781534195	9
P_0000442_T01_IM3	0.397864103317261	10
P_0000449_T01_IM3	0.617396771907806	11
P_0000449_T02_IM5	0.915709853172302	12
P_0000479_T01_IM3	0.403255105018616	13
P_0000484_T01_IM3	0.101542741060257	14
P_0000504_T01_IM3	0.143520474433899	15
P_0000505_T01_IM3	0.33783620595932	16
P_0000509_T01_IM3	0.155801475048065	17
P_0000521_T01_IM3	0.588465631008148	18
P_0000541_T02_IM5	0.40808093547821	19
P_0000541_T01_IM3	0.375859051942825	20
P_0000560_T01_IM3	0.508925378322601	21
P_0000600_T01_IM3	0.877392470836639	22
P_0000603_T01_IM3	0.0701035261154175	23
P_0000610_T01_IM3	0.244440317153931	24
P_0000615_T01_IM3	0.284711718559265	25
P_0000640_T03_IM5	0.393477529287338	26
P_0000640_T01_IM3	0.218399181962013	27
P_0000647_T01_IM3	0.345050364732742	28
P_0000655_T01_IM3	0.440236508846283	29
P_0000655_T03_IM5	0.393477529287338	30
P_0000655_T02_IM3	0.410512834787369	31
P_0000672_T01_IM3	0.341477781534195	32
P_0000675_T01_IM3	0.389018356800079	33
P_0000691_T01_IM3	0.213704854249954	34
P_0000725_T01_IM3	0.420060157775879	35
P_0000828_T02_IM3	0.764405190944672	36
P_0000842_T02_IM5	0.587466359138489	37
P_0000842_T01_IM3	0.341477781534195	38
P_0000847_T01_IM3	0.218399181962013	39
P_0000909_T03_IM3	0.143520474433899	40
P_0000912_T01_IM3	0.537829637527466	41
P_0000931_T01_IM3	0.201619818806648	42
P_0000935_T01_IM3	0.903603136539459	43
P_0000964_T01_IM3	0.412233710289001	44
P_0000966_T01_IM3	0.239588528871536	45
P_0000990_T02_IM3	0.077278696000576	46
P_0001108_T01_IM3	0.4544677734375	47
P_0001128_T01_IM3	0.439037650823593	48
P_0001141_T01_IM3	0.408128917217255	49
P_0001153_T01_IM3	0.364927262067795	50
P_0001187_T01_IM3	0.188324227929115	51
P_0001202_T01_IM3	0.40808093547821	52
P_0001204_T02_IM5	0.849877655506134	53
P_0001204_T03_IM5	0.882968902587891	54
P_0001204_T01_IM3	0.284711718559265	55
P_0001206_T01_IM3	0.143520474433899	56
P_0001221_T01_IM3	0.218399181962013	57
P_0001230_T01_IM3	0.547044575214386	58
P_0001242_T03_IM5	0.43481457233429	59
P_0001242_T01_IM3	0.345050364732742	60
P_0001242_T02_IM3	0.385458469390869	61
P_0001244_T02_IM3	0.251728892326355	62
P_0001247_T01_IM3	0.892482876777649	63
P_0001262_T01_IM3	0.345050364732742	64
P_0001297_T01_IM3	0.481671690940857	65
P_0001319_T03_IM5	0.421768516302109	66
P_0001325_T01_IM3	0.910561978816986	67
P_0001332_T01_IM3	0.582754552364349	68
P_0001337_T01_IM3	0.26257461309433	69
P_0001382_T01_IM3	0.398475229740143	70
P_0001407_T01_IM3	0.499954104423523	71
P_0001413_T01_IM3	0.155801475048065	72
P_0001445_T01_IM3	0.385458469390869	73
P_0001449_T02_IM5	0.314800411462784	74
P_0001449_T01_IM3	0.166869714856148	75
P_0001462_T01_IM3	0.404882907867432	76
P_0001493_T01_IM3	0.40808093547821	77
P_0001537_T01_IM3	0.0982685014605522	78
P_0001563_T01_IM3	0.188324227929115	79
P_0001630_T01_IM3	0.44758215546608	80
P_0001636_T01_IM3	0.170361667871475	81
P_0001639_T01_IM3	0.0786932781338692	82
P_0001684_T01_IM3	0.2938412129879	83
P_0001684_T02_IM3	0.213961020112038	84
P_0001687_T01_IM3	0.793476939201355	85
P_0001694_T01_IM3	0.143520474433899	86
P_0001697_T02_IM3	0.45587345957756	87
P_0001698_T01_IM3	0.7201207280159	88
P_0001768_T01_IM3	0.45587345957756	89
P_0001776_T01_IM3	0.303366273641586	90
P_0001795_T02_IM5	0.89176607131958	91
P_0001822_T01_IM3	0.536287069320679	92
P_0001829_T02_IM5	0.385458469390869	93
P_0001829_T01_IM3	0.417575538158417	94
P_0001845_T01_IM3	0.533156871795654	95
P_0001859_T02_IM3	0.629532754421234	96
P_0001861_T01_IM3	0.245487228035927	97
P_0001876_T03_IM5	0.40808093547821	98
P_0001876_T02_IM5	0.155801475048065	99
P_0001884_T01_IM3	0.855563104152679	100
P_0001884_T02_IM5	0.389515101909637	101
P_0001895_T01_IM3	0.34074142575264	102
P_0001899_T01_IM3	0.733114004135132	103
P_0002101_T01_IM3	0.381835639476776	104
P_0002123_T01_IM3	0.383786678314209	105
P_0002149_T01_IM3	0.49853041768074	106
P_0002196_T01_IM3	0.354809761047363	107
P_0002206_T01_IM3	0.391432076692581	108
P_0002223_T01_IM3	0.143520474433899	109
P_0002273_T03_IM5	0.704084396362305	110
P_0002273_T01_IM3	0.401625454425812	111
P_0002289_T01_IM3	0.213961020112038	112
P_0002296_T01_IM3	0.75416898727417	113
P_0002306_T01_IM3	0.407518446445465	114
P_0002314_T01_IM3	0.369131952524185	115
P_0002333_T01_IM3	0.143520474433899	116
P_0002334_T01_IM3	0.0849272012710571	117
P_0002364_T01_IM3	0.226636663079262	118
P_0002382_T01_IM3	0.620906114578247	119
P_0002397_T01_IM3	0.345931053161621	120
P_0002398_T02_IM3	0.497986227273941	121
P_0002431_T01_IM3	0.218399181962013	122
P_0002439_T01_IM3	0.185467690229416	123
P_0002453_T01_IM3	0.341477781534195	124
P_0002499_T01_IM3	0.447856813669205	125
P_0002537_T02_IM5	0.341477781534195	126
P_0002537_T01_IM3	0.513944208621979	127
P_0002583_T01_IM3	0.143520474433899	128
P_0002840_T01_IM3	0.407377600669861	129
P_0002880_T01_IM3	0.350692510604858	130
P_0002894_T01_IM3	0.885151743888855	131
P_0002895_T01_IM3	0.387089163064957	132
P_0002897_T01_IM3	0.15524885058403	133
P_0002898_T01_IM3	0.354809761047363	134
P_0002901_T03_IM5	0.369133919477463	135
P_0002959_T02_IM5	0.341477781534195	136
P_0002959_T01_IM3	0.393477529287338	137
P_0002961_T01_IM3	0.318551540374756	138
P_0002962_T01_IM3	0.581278741359711	139
P_0002971_T02_IM5	0.410397708415985	140
P_0002974_T01_IM3	0.494114696979523	141
P_0002984_T01_IM3	0.636130452156067	142
P_0002999_T01_IM3	0.468049764633179	143
P_0003001_T01_IM3	0.182514011859894	144
P_0003023_T01_IM3	0.425742030143738	145
P_0003026_T01_IM3	0.386903047561646	146
P_0003028_T01_IM3	0.341477781534195	147
P_0003033_T02_IM5	0.537003993988037	148
P_0003033_T01_IM5	0.592895984649658	149
P_0003037_T01_IM5	0.2938412129879	150
P_0003040_T01_IM5	0.860038220882416	151
P_0003052_T01_IM3	0.4669389128685	152
P_0003061_T01_IM3	0.182514011859894	153
P_0003101_T01_IM5	0.737580597400665	154
P_0003101_T03_IM5	0.593447387218475	155
P_0003139_T02_IM5	0.616804778575897	156
P_0003139_T01_IM5	0.218399181962013	157
P_0003150_T01_IM5	0.418174535036087	158
P_0003150_T02_IM5	0.2938412129879	159
P_0003181_T02_IM5	0.682332813739777	160
P_0003226_T01_IM5	0.40808093547821	161
P_0003390_T01_IM5	0.543272316455841	162
P_0003395_T01_IM5	0.82342940568924	163
P_0003400_T01_IM5	0.495631635189056	164
P_0003419_T02_IM5	0.412626445293427	165
P_0003468_T01_IM5	0.941289603710175	166
P_0003504_T02_IM5	0.231380611658096	167
P_0003506_T01_IM5	0.270052969455719	168
P_0003511_T01_IM5	0.885375678539276	169
P_0003511_T02_IM5	0.636011064052582	170
P_0003511_T03_IM5	0.402055501937866	171
P_0003519_T01_IM5	0.385458469390869	172
P_0003535_T01_IM5	0.42065367102623	173
P_0003538_T02_IM5	0.885375678539276	174
P_0003538_T01_IM5	0.378740757703781	175
P_0003541_T01_IM5	0.813293874263763	176
P_0003556_T01_IM5	0.436980187892914	177
P_0003597_T02_IM5	0.52482670545578	178
P_0003597_T01_IM5	0.473572045564651	179
P_0003602_T01_IM5	0.43481457233429	180
P_0003605_T01_IM5	0.143520474433899	181
P_0003637_T01_IM5	0.0946096703410149	182
P_0003655_T01_IM5	0.213961020112038	183
P_0003678_T01_IM5	0.885375678539276	184
P_0003684_T01_IM5	0.143520474433899	185
P_0003689_T01_IM5	0.387089163064957	186
P_0003695_T01_IM5	0.34074142575264	187
P_0003741_T01_IM5	0.2938412129879	188
P_0003758_T01_IM5	0.714993417263031	189
P_0003799_T02_IM5	0.484470248222351	190
P_0003799_T01_IM5	0.385458469390869	191
P_0003852_T01_IM5	0.547044575214386	192
P_0003856_T01_IM5	0.704090476036072	193
P_0003908_T01_IM3	0.375859051942825	194
P_0003939_T01_IM3	0.385458469390869	195
P_0003971_T02_IM5	0.448294848203659	196
P_0003993_T01_IM5	0.155801475048065	197
P_0004039_T01_IM5	0.393477529287338	198
P_0004063_T01_IM5	0.452167272567749	199
P_0004138_T01_IM5	0.354809761047363	200
P_0004221_T01_IM5	0.323983311653137	201
P_0004231_T02_IM5	0.176050588488579	202
P_0004231_T01_IM5	0.875088393688202	203
P_0004243_T01_IM5	0.39117169380188	204
P_0004283_T01_IM5	0.077278696000576	205
P_0004290_T03_IM5	0.40808093547821	206
P_0004297_T02_IM5	0.403031408786774	207
P_0004311_T01_IM5	0.418174535036087	208
P_0004325_T01_IM5	0.387089163064957	209
P_0004343_T01_IM5	0.155801475048065	210
P_0004345_T01_IM5	0.218399181962013	211
P_0004355_T01_IM5	0.273572832345963	212
P_0004389_T01_IM5	0.722765803337097	213
P_0004435_T01_IM5	0.34074142575264	214
P_0004448_T01_IM5	0.630115211009979	215
P_0004474_T01_IM5	0.810582101345062	216
P_0004482_T01_IM5	0.703521549701691	217
P_0004508_T01_IM5	0.496614068746567	218
P_0004514_T01_IM5	0.354809761047363	219
P_0004522_T01_IM5	0.375859051942825	220
P_0004526_T01_IM5	0.212061449885368	221
P_0004532_T01_IM5	0.0701035261154175	222
P_0004538_T01_IM5	0.201619818806648	223
P_0004539_T01_IM5	0.459130883216858	224
P_0004556_T01_IM5	0.420853644609451	225
P_0004594_T01_IM5	0.397399514913559	226
P_0004597_T02_IM5	0.385458469390869	227
P_0004600_T01_IM5	0.780503153800964	228
P_0004600_T02_IM5	0.649178802967072	229
P_0004634_T01_IM5	0.170221731066704	230
P_0004675_T01_IM5	0.231380611658096	231
P_0004704_T01_IM5	0.508925378322601	232
P_0004735_T01_IM5	0.418174535036087	233
P_0004756_T01_IM5	0.212061449885368	234
P_0004816_T01_IM5	0.182514011859894	235
P_0004826_T01_IM5	0.313985794782639	236
P_0004892_T01_IM5	0.400653719902039	237
P_0004910_T01_IM5	0.672670781612396	238
P_0004910_T02_IM5	0.470011025667191	239
P_0004946_T01_IM5	0.447856813669205	240
P_0005052_T01_IM5	0.396209537982941	241
P_0005052_T02_IM5	0.389702767133713	242
P_0005064_T01_IM5	0.866051197052002	243
P_0005065_T03_IM5	0.889437913894653	244
P_0005065_T02_IM5	0.681258738040924	245
P_0005078_T01_IM5	0.427733480930328	246
P_0005081_T01_IM5	0.387089163064957	247
P_0005098_T01_IM5	0.303366273641586	248
P_0005098_T02_IM5	0.307452946901321	249
P_0005213_T01_IM5	0.407222390174866	250
P_0005216_T01_IM5	0.646711230278015	251
P_0005217_T03_IM5	0.345050364732742	252
P_0005324_T01_IM5	0.387089163064957	253
P_0005348_T01_IM5	0.182514011859894	254
P_0005422_T01_IM5	0.422505557537079	255
P_0005436_T02_IM5	0.43481457233429	256
P_0005436_T01_IM5	0.437609493732452	257
P_0005445_T01_IM5	0.303984880447388	258
P_0005460_T01_IM5	0.423934578895569	259
P_0005463_T01_IM5	0.341477781534195	260
P_0005535_T01_IM5	0.542511880397797	261
P_0005546_T01_IM5	0.616648197174072	262
P_0005552_T01_IM5	0.213961020112038	263
P_0005555_T01_IM5	0.585686206817627	264
P_0005557_T01_IM5	0.218399181962013	265
P_0005630_T01_IM5	0.40808093547821	266
P_0005639_T01_IM5	0.224535673856735	267
P_0005649_T01_IM5	0.410884886980057	268
P_0005692_T01_IM5	0.439593493938446	269
P_0005697_T03_IM5	0.45587345957756	270
P_0005698_T01_IM5	0.387089163064957	271
P_0005713_T01_IM5	0.375625759363174	272
P_0005760_T01_IM5	0.155801475048065	273
P_0005761_T01_IM5	0.6298828125	274
P_0005773_T02_IM5	0.8247190117836	275
P_0005774_T01_IM5	0.40808093547821	276
P_0005787_T01_IM5	0.836618006229401	277
P_0005787_T02_IM5	0.841665089130402	278
P_0005802_T01_IM5	0.229386061429977	279
P_0005804_T01_IM5	0.397399514913559	280
P_0005806_T01_IM5	0.632071852684021	281
P_0005864_T01_IM5	0.385458469390869	282
P_0005890_T01_IM5	0.213961020112038	283
P_0005902_T01_IM5	0.439037650823593	284
P_0005953_T02_IM5	0.621027112007141	285
P_0005956_T01_IM5	0.572184383869171	286
P_0005970_T01_IM5	0.85568755865097	287
P_0005970_T02_IM5	0.634256958961487	288
P_0005970_T03_IM5	0.861403286457062	289
P_0005976_T01_IM5	0.661815583705902	290
P_0006029_T01_IM5	0.559553682804108	291
P_0006057_T01_IM5	0.43481457233429	292
P_0006108_T03_IM5	0.213961020112038	293
P_0006108_T02_IM5	0.361041128635406	294
P_0006226_T01_IM5	0.188324227929115	295
P_0006247_T01_IM5	0.413812965154648	296
P_0006346_T01_IM5	0.218399181962013	297
P_0006378_T01_IM5	0.43465068936348	298
P_0006379_T01_IM5	0.418174535036087	299
P_0006389_T01_IM5	0.398141920566559	300
P_0006393_T01_IM5	0.503927111625671	301
P_0006440_T01_IM5	0.413812965154648	302
P_0006461_T01_IM5	0.449873238801956	303
P_0006508_T01_IM5	0.424421221017838	304
P_0006573_T01_IM5	0.218399181962013	305
P_0006574_T01_IM5	0.439593493938446	306
P_0006584_T01_IM5	0.629152357578278	307
P_0006595_T01_IM5	0.648485660552979	308
P_0006602_T02_IM5	0.320726722478867	309
P_0006619_T01_IM5	0.341477781534195	310
P_0006635_T01_IM5	0.640267431735992	311
P_0006655_T01_IM5	0.382293373346329	312
P_0006670_T01_IM5	0.496687442064285	313
P_0006689_T01_IM5	0.218399181962013	314
P_0006749_T01_IM5	0.620697796344757	315
P_0006751_T01_IM5	0.2938412129879	316
P_0006757_T01_IM5	0.220521524548531	317
P_0006806_T01_IM5	0.881508052349091	318
P_0006815_T01_IM5	0.410983204841614	319
P_0006837_T02_IM5	0.458432763814926	320
P_0006837_T01_IM5	0.345050364732742	321
P_0006856_T01_IM5	0.698966920375824	322
P_0006962_T01_IM5	0.307987332344055	323
P_0006997_T01_IM5	0.270052969455719	324
P_0007005_T01_IM5	0.367953658103943	325
P_0007042_T01_IM5	0.143520474433899	326
P_0007078_T02_IM5	0.402055501937866	327
P_0007098_T01_IM5	0.226636663079262	328
P_0007137_T01_IM5	0.341477781534195	329
P_0007143_T01_IM5	0.387089163064957	330
P_0007182_T01_IM5	0.678961515426636	331
P_0007184_T01_IM5	0.456652075052261	332
P_0007267_T01_IM5	0.351570665836334	333
P_0007307_T01_IM5	0.371253967285156	334
P_0007313_T01_IM5	0.466729313135147	335
P_0007332_T01_IM5	0.487336456775665	336
